epoch,train_loss,train_mae,val_mae,val_acc,val_rmse,val_r2,val_nearest_acc
1,4.319969476150608,3.6487658663945224,3.1454945,0.7816318972966301,6.4091234,0.8666587,0.8689839572192514
2,3.1964618152382926,2.934590259169404,2.4885664,0.8229848166892976,4.6503196,0.9298006,0.8883689839572193
3,2.744684497554529,2.571073835415462,2.25981,0.8273052709542031,4.0182095,0.9475878,0.8970588235294118
4,2.4347574788105786,2.33289400875539,2.184821,0.8550796198000247,3.7767932,0.9536965,0.9090909090909091
5,2.17506834172803,2.124116488693382,1.8154964,0.8835946179484014,3.1369443,0.9680566,0.9064171122994652
6,1.9379655435468364,1.941134572939781,1.7113934,0.8853227996543637,2.9122663,0.9724685,0.9144385026737968
7,1.7922234813852107,1.8294404409476956,1.682962,0.8897666954696951,2.8861198,0.97296065,0.9237967914438503
8,1.4695661792677572,1.5652565939664957,1.3699211,0.9139612393531663,2.304222,0.9827648,0.9324866310160428
9,1.3615322806980295,1.4820401295615628,1.3317295,0.9164300703616838,2.26948,0.9832806,0.9331550802139037
10,1.2893365424892007,1.4209400941404349,1.2958444,0.9188989013702012,2.2126396,0.9841076,0.9324866310160428
11,1.2353957260313029,1.3771035387311563,1.2348614,0.9224787063325516,2.0964608,0.98573273,0.9378342245989305
12,1.1719651730880765,1.3229826966079365,1.2021457,0.9248240957906432,2.0665321,0.98613715,0.9405080213903744
13,1.116511409052961,1.2790005666361235,1.1722062,0.9261819528453278,2.0226831,0.98671925,0.9378342245989305
14,1.0568511834897802,1.2267559182767271,1.1613791,0.9292679916059746,1.9933393,0.9871018,0.9431818181818182
15,0.9906639107610863,1.1664084442558402,1.1104892,0.9324774719170473,1.9157957,0.98808575,0.9425133689839572
16,0.9643416272236714,1.1444879063630469,1.0971347,0.934699419824713,1.8895183,0.98841035,0.9411764705882353
17,0.9532305275706483,1.1326402587336,1.0945119,0.934699419824713,1.8897957,0.98840696,0.9431818181818182
18,0.9294792224087112,1.113279710502211,1.0757705,0.9351931860264165,1.8578147,0.988796,0.94451871657754
19,0.9227105728609918,1.1065322469907068,1.0650047,0.9361807184298235,1.8281552,0.9891509,0.9438502673796791
20,0.918232004727825,1.101079290638186,1.0613369,0.9360572768793977,1.8303751,0.98912454,0.9418449197860963
